COUNTY,Year,Mean_AQI,County_join,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
SUTTER,2020,61.27049180327869,Sutter,29.0,2.7,183.0,18.8
SUTTER,2021,62.09065934065934,Sutter,24.0,2.5,215.0,22.7
SUTTER,2022,56.30494505494506,Sutter,37.0,3.8,255.0,26.3
SUTTER,2023,50.20661157024794,Sutter,31.0,3.1,265.0,27.9
TEHAMA,2020,56.83879781420765,Tehama,10.0,,173.0,28.0
TEHAMA,2021,58.26027397260274,Tehama,12.0,2.0,189.0,31.9
TEHAMA,2022,48.47945205479452,Tehama,14.0,2.4,200.0,35.1
TEHAMA,2023,47.202739726027396,Tehama,16.0,2.6,232.0,40.4
TRINITY,2020,42.82798833819242,Trinity,0.0,0.0,27.0,28.5
TRINITY,2021,80.8140243902439,Trinity,,,33.0,33.2
TRINITY,2022,42.98583569405099,Trinity,0.0,0.0,39.0,32.8
TRINITY,2023,38.09003215434084,Trinity,,,43.0,39.4
TULARE,2020,89.29234972677595,Tulare,77.0,1.5,1135.0,23.8
TULARE,2021,92.8054794520548,Tulare,121.0,2.4,1281.0,26.3
TULARE,2022,82.92876712328767,Tulare,182.0,3.6,1528.0,30.8
TULARE,2023,76.67945205479452,Tulare,153.0,3.1,1573.0,31.8
TUOLUMNE,2020,44.373937677053824,Tuolumne,12.0,2.4,129.0,28.6
TUOLUMNE,2021,41.608333333333334,Tuolumne,9.0,,104.0,24.5
TUOLUMNE,2022,39.276,Tuolumne,13.0,2.5,121.0,28.4
TUOLUMNE,2023,44.08620689655172,Tuolumne,16.0,4.0,218.0,51.8
VENTURA,2020,56.89890710382514,Ventura,137.0,1.5,1394.0,17.4
VENTURA,2021,55.345205479452055,Ventura,146.0,1.8,1315.0,16.7
VENTURA,2022,55.47123287671233,Ventura,188.0,2.4,1959.0,25.1
VENTURA,2023,52.104109589041094,Ventura,194.0,2.4,2117.0,26.8
YOLO,2020,54.69945355191257,Yolo,15.0,0.8,456.0,22.8
YOLO,2021,47.394520547945206,Yolo,48.0,2.6,438.0,21.6
YOLO,2022,44.06575342465754,Yolo,61.0,3.1,557.0,27.5
YOLO,2023,46.61643835616438,Yolo,54.0,2.9,719.0,35.3
